R2-USB,144.18,35.96,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,144.19,36.99,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,133.73,57.40,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,31.93,73.20,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,87.92,63.65,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,61.23,26.33,270.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,65.04,26.33,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,43.96,34.71,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,21.96,34.90,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,29.29,34.86,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,6.28,71.04,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,36.96,35.52,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,63.96,108.45,180.00,BUTTON_CUSYOMV1MYBUTTON,MYBUTTON
R_BOOT,20.72,104.87,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,83.97,43.84,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,44.48,104.87,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,102.37,25.07,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,59.96,104.87,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,25.73,72.80,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,64.04,31.62,270.00,,SJ
TP1,12.84,69.83,0.00,TPTP20R,TP20R
TP10,97.84,9.61,0.00,TPTP20R,TP20R
TP11,97.62,7.48,0.00,TPTP20R,TP20R
TP12,97.79,11.74,0.00,TPTP20R,TP20R
TP13,98.59,28.36,0.00,TPTP20R,TP20R
